date,account,region,ret_value
2022-03-19,SB-1001,NA,0.28694862
2022-03-19,SB-1002,NA,0.5474522
2022-03-19,SB-1003,NA,0.9015838
2022-03-19,SB-1004,NA,0.44600594
2022-03-19,SB-1005,NA,0.84618574
2022-03-20,SB-1001,NA,0.4068445
2022-03-20,SB-1002,NA,0.8683607
2022-03-20,SB-1003,NA,0.5211239
2022-03-20,SB-1004,NA,0.27588272
2022-03-20,SB-1005,NA,0.9990737
2022-03-21,SB-1001,NA,0.25452584
2022-03-21,SB-1002,NA,0.8065001
2022-03-21,SB-1003,NA,0.99322844
2022-03-21,SB-1004,NA,0.24920404
2022-03-21,SB-1005,NA,0.21935141
2022-03-22,SB-1001,NA,0.29778033
2022-03-22,SB-1002,NA,0.45751566
2022-03-22,SB-1003,NA,0.15668201
2022-03-22,SB-1004,NA,0.9334308
2022-03-22,SB-1005,NA,0.57617205
2022-03-23,SB-1001,NA,0.10986614
2022-03-23,SB-1002,NA,0.05839646
2022-03-23,SB-1003,NA,0.35594708
2022-03-23,SB-1004,NA,0.40989673
2022-03-23,SB-1005,NA,0.49927837
2022-03-24,SB-1001,NA,0.66243017
2022-03-24,SB-1002,NA,0.3490618
2022-03-24,SB-1003,NA,0.73358154
2022-03-24,SB-1004,NA,0.18421793
2022-03-24,SB-1005,NA,0.8240248
2022-03-25,SB-1001,NA,0.19326258
2022-03-25,SB-1002,NA,0.2222094
2022-03-25,SB-1003,NA,0.09674555
2022-03-25,SB-1004,NA,0.9104739
2022-03-25,SB-1005,NA,0.42535722
2022-03-26,SB-1001,NA,0.5754995
2022-03-26,SB-1002,NA,0.6877413
2022-03-26,SB-1003,NA,0.77850133
2022-03-26,SB-1004,NA,0.91062677
2022-03-26,SB-1005,NA,0.24464601
2022-03-27,SB-1001,NA,0.83183575
2022-03-27,SB-1002,NA,0.8769426
2022-03-27,SB-1003,NA,0.8736852
2022-03-27,SB-1004,NA,0.46734577
2022-03-27,SB-1005,NA,0.05014521
2022-03-28,SB-1001,NA,0.98773795
2022-03-28,SB-1002,NA,0.7084494
2022-03-28,SB-1003,NA,0.40980744
2022-03-28,SB-1004,NA,0.0331192
2022-03-28,SB-1005,NA,0.9257821
2022-03-29,SB-1001,NA,0.8926354
2022-03-29,SB-1002,NA,0.59582454
2022-03-29,SB-1003,NA,0.890763
2022-03-29,SB-1004,NA,0.7383243
2022-03-29,SB-1005,NA,0.46998483
2022-03-30,SB-1001,NA,0.8899707
2022-03-30,SB-1002,NA,0.31446105
2022-03-30,SB-1003,NA,0.91434866
2022-03-30,SB-1004,NA,0.7175047
2022-03-30,SB-1005,NA,0.79139674
2022-03-31,SB-1001,NA,0.17933929
2022-03-31,SB-1002,NA,0.763721
2022-03-31,SB-1003,NA,0.07884771
2022-03-31,SB-1004,NA,0.01657945
2022-03-31,SB-1005,NA,0.8128126
2022-04-01,SB-1001,NA,0.24233747
2022-04-01,SB-1002,NA,0.41379207
2022-04-01,SB-1003,NA,0.69810116
2022-04-01,SB-1004,NA,0.34860623
2022-04-01,SB-1005,NA,0.46094513
2022-04-02,SB-1001,NA,0.53485733
2022-04-02,SB-1002,NA,0.37315243
2022-04-02,SB-1003,NA,0.8108771
2022-04-02,SB-1004,NA,0.4237535
2022-04-02,SB-1005,NA,0.09778607
2022-04-03,SB-1001,NA,0.39579713
2022-04-03,SB-1002,NA,0.17477751
2022-04-03,SB-1003,NA,0.33107388
2022-04-03,SB-1004,NA,0.48190707
2022-04-03,SB-1005,NA,0.5058031
2022-04-04,SB-1001,NA,0.8393353
2022-04-04,SB-1002,NA,0.69817984
2022-04-04,SB-1003,NA,0.13987672
2022-04-04,SB-1004,NA,0.5541317
2022-04-04,SB-1005,NA,0.99430156
2022-04-05,SB-1001,NA,0.062271595
2022-04-05,SB-1002,NA,0.82394046
2022-04-05,SB-1003,NA,0.7747682
2022-04-05,SB-1004,NA,0.6819844
2022-04-05,SB-1005,NA,0.9773311
2022-04-06,SB-1001,NA,0.15040368
2022-04-06,SB-1002,NA,0.57511485
2022-04-06,SB-1003,NA,0.930406
2022-04-06,SB-1004,NA,0.32791883
2022-04-06,SB-1005,NA,0.9666895
2022-04-07,SB-1001,NA,0.11547744
2022-04-07,SB-1002,NA,0.28532237
2022-04-07,SB-1003,NA,0.37299025
2022-04-07,SB-1004,NA,0.7280367
2022-04-07,SB-1005,NA,0.7429939
2022-04-08,SB-1001,NA,0.8987849
2022-04-08,SB-1002,NA,0.19214952
2022-04-08,SB-1003,NA,0.56610143
2022-04-08,SB-1004,NA,0.1538369
2022-04-08,SB-1005,NA,0.88542956
2022-04-09,SB-1001,NA,0.032423735
2022-04-09,SB-1002,NA,0.42714614
2022-04-09,SB-1003,NA,0.27620143
2022-04-09,SB-1004,NA,0.67073756
2022-04-09,SB-1005,NA,0.0741415
2022-04-10,SB-1001,NA,0.59292233
2022-04-10,SB-1002,NA,0.59937114
2022-04-10,SB-1003,NA,0.30276442
2022-04-10,SB-1004,NA,0.76452047
2022-04-10,SB-1005,NA,0.45250118
2022-03-19,SB-1001,SA,0.9034266
2022-03-19,SB-1002,SA,0.40238774
2022-03-19,SB-1003,SA,0.60564125
2022-03-19,SB-1004,SA,0.7836102
2022-03-19,SB-1005,SA,0.36840075
2022-03-20,SB-1001,SA,0.97315246
2022-03-20,SB-1002,SA,0.44521427
2022-03-20,SB-1003,SA,0.19821858
2022-03-20,SB-1004,SA,0.15781564
2022-03-20,SB-1005,SA,0.1717822
2022-03-21,SB-1001,SA,0.20847172
2022-03-21,SB-1002,SA,0.2583118
2022-03-21,SB-1003,SA,0.84214205
2022-03-21,SB-1004,SA,0.70423883
2022-03-21,SB-1005,SA,0.4660415
2022-03-22,SB-1001,SA,0.058371127
2022-03-22,SB-1002,SA,0.5784182
2022-03-22,SB-1003,SA,0.52669275
