Name,Role,Price,Country,Team
ShubmanGill,Batsman,80000000.0,India,GT
SaiSudarshan,Batsman,2000000.0,India,GT
AbhinavSadarangani,Batsman,26000000.0,India,GT
JasonRoy,Batsman,20000000.0,England,GT
DavidMiller,Batsman,30000000.0,South Africa,GT
MatthewWade,WK-Batsman,24000000.0,Australia,GT
WriddhimanSaha,WK-Batsman,19000000.0,India,GT
RashidKhan,Bowler,150000000.0,Afghanistan,GT
VarunAaron,Bowler,5000000.0,India,GT
DarshanNalkande,Bowler,2000000.0,India,GT
YashDayal,Bowler,32000000.0,India,GT
PradeepSangwan,Bowler,2000000.0,India,GT
AlzarriJoseph,Bowler,24000000.0,West Indies,GT
RSaiKishore,Bowler,30000000.0,India,GT
NoorAhmad,Bowler,3000000.0,Afghanistan,GT
LockieFerguson,Bowler,100000000.0,New Zealand,GT
MohammedShami,Bowler,62500000.0,India,GT
HardikPandya,All-rounder,150000000.0,India,GT
DominicDrakes,All-rounder,11000000.0,West Indies,GT
VijayShankar,All-rounder,14000000.0,India,GT
JayantYadav,All-rounder,17000000.0,India,GT
GurkeeratSinghMann,All-rounder,5000000.0,India,GT
RahulTewatia,All-rounder,90000000.0,India,GT
MSDhoni,WK-Batsman,120000000.0,India,CSK
RuturajGaikwad,Batsman,60000000.0,India,CSK
RobinUthappa,Batsman,20000000.0,India,CSK
AmbatiRayudu,WK- Batsman,67500000.0,India,CSK
DevonConway,Batsman,10000000.0,New Zealand,CSK
SubhranshuSenapati,Batsman,2000000.0,India,CSK
HariNishaanth,Batsman,2000000.0,India,CSK
NJagadeesan,WK- Batsman,2000000.0,India,CSK
DeepakChahar,Bowler,140000000.0,India,CSK
KMAsif,Bowler,2000000.0,India,CSK
TusharDeshpande,Bowler,2000000.0,India,CSK
MaheeshTheekshana,Bowler,7000000.0,Sri Lanka,CSK
SimranjeetSingh,Bowler,2000000.0,India,CSK
AdamMilne,Bowler,19000000.0,New Zealand,CSK
MukeshChoudhary,Bowler,2000000.0,India,CSK
PrashantSolanki,Bowler,12000000.0,India,CSK
MitchellSantner,Bowler,19000000.0,New Zealand,CSK
RajvardhanHangargekar,Bowler,15000000.0,India,CSK
RavindraJadeja,All-rounder,160000000.0,India,CSK
MoeenAli,All-rounder,80000000.0,England,CSK
DwayneBravo,All-rounder,44000000.0,West Indies,CSK
ShivamDube,All-rounder,40000000.0,India,CSK
DwainePretorius,All-rounder,5000000.0,South Africa,CSK
BhagathVarma,All-rounder,2000000.0,India,CSK
ChrisJordan,All-rounder,36000000.0,England,CSK
RishabhPanty,WT-Batsman,160000000.0,India,DC
PrithviShaw,Batsman,75000000.0,India,DC
DavidWarner,Batsman,62500000.0,Australia,DC
AshwinHebbar,Batsman,2000000.0,India,DC
SarfarazKhan,Batsman,2000000.0,India,DC
KSBharat,WK-Batsman,20000000.0,India,DC
YashDhull,Batsman,5000000.0,India,DC
MandeepSingh,Batsman,11000000.0,India,DC
RovmanPowell,Batsman,28000000.0,West Indies,DC
TimSeifert,WK-Batsman,5000000.0,New Zealand,DC
AnrichNortje,Bowler,65000000.0,South Africa,DC
ShardulThakur,Bowler,107500000.0,India,DC
KamleshNagarkoti,Bowler,11000000.0,India,DC
MustafizurRahman,Bowler,20000000.0,Bangladesh,DC
LungiNgidi,Bowler,5000000.0,South Africa,DC
KhaleelAhmed,Bowler,52500000.0,India,DC
ChetanSakariya,Bowler,42000000.0,India,DC
PraveenDubey,Bowler,5000000.0,India,DC
KuldeepYadav,Bowler,20000000.0,India,DC
AxarPatel,All-rounder,90000000.0,India,DC
MitchellMarsh,All-rounder,65000000.0,Australia,DC
LalitYadav,All-rounder,6500000.0,India,DC
RipalPatel,All-rounder,2000000.0,India,DC
VickyOstwal,All-rounder,2000000.0,India,DC
ShreyasIyer,Batsman,122500000.0,India,KKR
NitishRana,Batsman,80000000.0,India,KKR
AjinkyaRahane,Batsman,10000000.0,India,KKR
RinkuSingh,Batsman,5500000.0,India,KKR
AbhijeetTomar,Batsman,4000000.0,India,KKR
PrathamSingh,Batsman,2000000.0,India,KKR
AlexHales,Batsman,15000000.0,England,KKR
RameshKumar,Batsman,2000000.0,India,KKR
SheldonJackson,WK-Batsman,6000000.0,India,KKR
SamBillings,WK-Batsman,20000000.0,England,KKR
BabaIndrajith,Batsman,2000000.0,India,KKR
VarunChakravarty,Bowlers,80000000.0,India,KKR
PatCummins,Bowlers,72500000.0,Australia,KKR
RasikhDar,Bowlers,2000000.0,India,KKR
AshokSharma,Bowlers,5500000.0,India,KKR
TimSouthee,Bowlers,15000000.0,New Zealand,KKR
UmeshYadav,Bowlers,20000000.0,India,KKR
ChamikaKarunaratne,Bowlers,5000000.0,Sri Lanka,KKR
ShivamMavi,Bowlers,72500000.0,India,KKR
AndreRussell,All-rounder,120000000.0,West Indies,KKR
VenkateshIyer,All-rounder,80000000.0,India,KKR
SunilNarine,All-rounder,60000000.0,West Indies,KKR
AnukulRoy,All-rounder,2000000.0,India,KKR
NitishRana,All-rounder,80000000.0,India,KKR
MohammadNabi,All-rounder,10000000.0,Afghanistan,KKR
MananVohra,Batsman,2000000.0,India,LSG
EvinLewis,Batsman,20000000.0,West Indies,LSG
ManishPandey,Batsman,46000000.0,India,LSG
KLRahul,WK-Batsman,170000000.0,India,LSG
QuintondeKock,WK-Batsman,67500000.0,South Africa,LSG
RaviBishnoi,Bowler,40000000.0,India,LSG
DushmanthaChameera,Bowler,20000000.0,Sri Lanka,LSG
ShahbazNadeem,Bowler,5000000.0,India,LSG
MohsinKhan,Bowler,2000000.0,India,LSG
MayankYadav,Bowler,2000000.0,India,LSG
AnkitRajpoot,Bowler,5000000.0,India,LSG
AveshKhan,Bowler,100000000.0,India,LSG
MarkWood,Bowler,75000000.0,England,LSG
MarcusStoinis,All-rounder,92000000.0,Australia,LSG
KyleMayers,All-rounder,5000000.0,West Indies,LSG
KaranSharma,All-rounder,2000000.0,India,LSG
KGowtham,All-rounder,9000000.0,India,LSG
AyushBadoni,All-rounder,2000000.0,India,LSG
DeepakHooda,All-rounder,57500000.0,India,LSG
KrunalPandya,All-rounder,82500000.0,India,LSG
JasonHolder,All-rounder,87500000.0,West Indies,LSG
RohitSharma,Batsman,160000000.0,India,MI
SuryakumarYadav,Batsman,80000000.0,India,MI
TilakVarma,Batsman,17000000.0,India,MI
RamandeepSingh,Batsman,2000000.0,India,MI
RahulBuddhi,Batsman,2000000.0,India,MI
AnmolpreetSingh,Batsman,2000000.0,India,MI
DewaldBrevis,Batsman,30000000.0,India,MI
AryanJuyal,WK-Batsman,2000000.0,India,MI
IshanKishan,WK-Batsman,152500000.0,India,MI
JaspritBumrah,Bowler,120000000.0,India,MI
MohammadArshadKhan,Bowler,2000000.0,India,MI
JaydevUnadkat,Bowler,13000000.0,India,MI
MayankMarkande,Bowler,6500000.0,India,MI
JofraArcher,Bowler,80000000.0,England,MI
TymalMills,Bowler,15000000.0,England,MI
RileyMeredith,Bowler,10000000.0,Australia,MI
MuruganAshwin,Bowler,16000000.0,India,MI
BasilThampi,Bowler,3000000.0,India,MI
KieronPollard,All-rounder,60000000.0,West Indies,MI
HrithikShokeen,All-rounder,2000000.0,India,MI
ArjunTendulkar,All-rounder,3000000.0,India,MI
SanjayYadav,All-rounder,5000000.0,India,MI
DanielSams,All-rounder,26000000.0,Australia,MI
TimDavid,All-rounder,82500000.0,Singapore,MI
FabianAllen,All-rounder,7500000.0,West Indies,MI
MayankAgarwal,Batsman,120000000.0,India,PBKS
PrerakMankad,Batsman,2000000.0,India,PBKS
BhanukaRajapaksa,Batsman,5000000.0,Sri Lanka,PBKS
ShahrukhKhan,Batsman,90000000.0,India,PBKS
ShikharDhawan,Batsman,82500000.0,India,PBKS
PrabhsimranSingh,WK-Batsman,6000000.0,India,PBKS
JiteshSharma,WK-Batsman,2000000.0,India,PBKS
JonnyBairstow,WK-Batsman,67500000.0,England,PBKS
ArshdeepSingh,Bowler,40000000.0,India,PBKS
WrittickChatterjee,Bowler,2000000.0,India,PBKS
OdeanSmith,Bowler,60000000.0,West Indies,PBKS
SandeepSharma,Bowler,5000000.0,India,PBKS
RajBawa,Bowler,20000000.0,India,PBKS
NathanEllis,Bowler,7500000.0,Australia,PBKS
VaibhavArora,Bowler,20000000.0,India,PBKS
IshanPorel,Bowler,2500000.0,India,PBKS
HarpreetBrar,Bowler,38000000.0,India,PBKS
RahulChahar,Bowler,52500000.0,India,PBKS
KagisoRabada,Bowler,92500000.0,South Africa,PBKS
BennyHowell,All-rounder,4000000.0,England,PBKS
BaltejSingh,All-rounder,2000000.0,India,PBKS
AnshPatel,All-rounder,2000000.0,India,PBKS
LiamLivingstone,All-rounder,115000000.0,England,PBKS
RishiDhawan,All-rounder,5500000.0,India,PBKS
AtharvaTaide,All-rounder,2000000.0,India,PBKS
YashasviJaiswal,Batsman,40000000.0,India,RR
KarunNair,Batsman,14000000.0,India,RR
RassievanderDussen,Batsman,10000000.0,South Africa,RR
DevduttPadikkal,Batsman,77500000.0,India,RR
ShimronHetmyer,Batsman,85000000.0,West Indies,RR
SanjuSamson,WK-Batsman,140000000.0,India,RR
JosButtler,WK-Batsman,100000000.0,England,RR
DhruvJurel,WK-Batsman,2000000.0,India,RR
ShubhamGarhwal,Bowler,2000000.0,India,RR
KuldipYadav,Bowler,2000000.0,India,RR
NathanCoulterNile,Bowler,20000000.0,Australia,RR
